usr_id,acct_ref,sub_ref,external_usr_id,usr_email,usr_nm,usr_role_cd,usr_title,usr_lang,created_dt,activated_dt,last_login_ts,usr_status_cd,deactivated_dt,signup_src,signup_channel,geo_region,timezone,is_primary_flg,email_verified_flg,last_seen_device,notes_txt
USR00032,AC054,SUB01945,EXT7513,sara197@example.com,,,,PL,2023-07-13,2023-07-19,2024-03-09 00:00:00,active,,web,organic,EMEA,Europe/Warsaw,True,False,android,billing contact
USR00033,AC180,SUB00966,EXT7466,alex68@gmail.com,,admin,,en-US,2021-04-04,,,disabled,,sales,,EU,EST,True,True,android,billing contact
USR00034,AC166,SUB00324,,john144@company.com,M. Brown,billing,Finance,PL,2023-06-06,,,active ,,api,referral,APAC,UTC+1,False,,,no activity last 30 days
USR00035,AC163,SUB00143,,ANNA@EXAMPLE.COM,M. Brown,member,,DE,2024-02-13,2024-02-22,,deleted,,web,,EMEA,EST,False,,,
USR00036,AC063,SUB02117,,kate146@example.com,Anna Kowalska,member,,,2023-10-07,,,disabled,,,paid_ads,,UTC,,,ios,
USR00037,AC098,SUB02541,,kate55@gmail.com,M. Brown,member,CTO,EN,2021-06-07,2021-06-17,2021-12-02 00:00:00,deleted,,import,,EU,,,True,android,power user
USR00038,AC164,,EXT2158,mike196@company.com,John Smith,billing,Finance,en-US,2023-07-17,2023-07-16,2023-08-09 00:00:00,invited,,import,organic,EMEA,UTC+1,True,False,,
USR00039,AC057,SUB01840,EXT6080,sara68@company.com,M. Brown,,CTO,PL,2021-11-12,,,active ,,sales,,APAC,EST,False,False,,power user
USR00040,AC015,,EXT4673,alex80@company.com,,ADMIN,,,2023-05-16,2023-05-16,2023-12-20 00:00:00,active,,api,,APAC,UTC,False,False,ios,no activity last 30 days
USR00041,AC009,SUB00868,,john49@gmail.com,,,,,2022-09-08,2022-09-16,2022-10-10 00:00:00,disabled,,api,referral,,UTC,,True,web,
USR00042,AC103,SUB00517,,sara233@gmail.com,,ADMIN,Finance,PL,2022-01-03,2022-01-10,,invited,,sales,paid_ads,EMEA,,False,,web,
USR00043,AC055,,,sara236@example.com,,,,,2023-12-31,,,deleted,,api,referral,APAC,Europe/Warsaw,True,True,ios,power user
USR00044,AC146,,EXT1439,john75@gmail.com,Anna Kowalska,billing,,,2022-01-26,,,invited,,web,referral,APAC,UTC+1,False,False,web,power user
USR00045,AC081,SUB00828,,sara201@gmail.com,John Smith,viewer,CTO,EN,2021-12-07,2021-12-16,2022-08-14 00:00:00,deleted,,import,,,,,,android,power user
USR00046,AC128,SUB02570,EXT2040,sara214@gmail.com,,admin,Manager,,2023-09-26,2023-10-06,2023-11-06 00:00:00,disabled,,import,,EMEA,UTC+1,False,,ios,
USR00047,AC165,,EXT7395,sara185@example.com,,member,,en-US,2022-12-06,2022-12-08,2023-05-30 00:00:00,disabled,2023-08-23,web,,NA,UTC+1,True,True,,power user
USR00048,AC068,SUB01310,EXT6849,john90@company.com,,admin,CTO,PL,2023-05-02,2023-05-12,2023-08-27 00:00:00,deleted,,web,paid_ads,EMEA,,True,False,android,
USR00049,AC144,SUB00275,,john235@gmail.com,John Smith,admin,,,2022-12-29,2023-01-01,2023-09-21 00:00:00,active,,,organic,,UTC,True,,web,no activity last 30 days
USR00050,AC150,,EXT6482,john63@example.com,Anna Kowalska,billing,Manager,EN,2023-01-11,2023-01-15,2023-10-01 00:00:00,invited,,import,referral,EU,,True,True,android,
USR00051,AC150,SUB02262,EXT3260,alex212@company.com,,billing,,PL,2023-04-30,2023-05-02,,active,,import,paid_ads,EMEA,,True,True,android,
USR00052,AC057,SUB01132,,kate267@gmail.com,M. Brown,billing,Manager,,2023-04-03,2023-04-03,2023-10-21 00:00:00,disabled,,api,referral,EMEA,Europe/Warsaw,,,ios,
USR00053,AC036,SUB00051,,mike65@example.com,,ADMIN,Finance,en-US,2023-07-03,2023-07-12,2024-02-04 00:00:00,active,,,referral,,Europe/Warsaw,,True,web,power user
USR00054,AC024,SUB02553,EXT7110,alex260@example.com,M. Brown,admin,CTO,EN,2024-01-11,2024-01-13,2024-06-16 00:00:00,deleted,,api,organic,APAC,Europe/Warsaw,True,,ios,
USR00055,AC029,SUB01719,EXT4154,john185@company.com,,admin,Engineer,DE,2022-09-05,2022-09-04,2023-05-28 00:00:00,deleted,,web,organic,EMEA,EST,True,False,ios,
USR00056,AC041,,EXT7937,mike251@gmail.com,,member,Engineer,,2021-06-09,2021-06-16,2022-03-08 00:00:00,invited,,import,,NA,,,True,ios,
USR00057,AC109,,EXT2945,anna210@gmail.com,John Smith,admin,Finance,,2023-08-28,,,disabled,,web,paid_ads,EMEA,Europe/Warsaw,False,False,android,
USR00058,AC099,SUB02387,EXT7910,ANNA@EXAMPLE.COM,M. Brown,viewer,Engineer,en-US,2023-09-23,,,deleted,,web,organic,,Europe/Warsaw,True,True,,
USR00059,AC120,SUB00411,,kate236@gmail.com,,,Manager,en-US,2024-03-19,2024-03-28,2024-10-07 00:00:00,disabled,,web,,APAC,UTC+1,False,False,web,
USR00060,AC142,SUB02305,EXT3028,kate44@company.com,Anna Kowalska,ADMIN,,,2022-07-23,2022-07-23,2023-05-11 00:00:00,active,,,paid_ads,APAC,,True,True,ios,power user
USR00061,AC003,SUB01172,EXT1737,alex12@gmail.com,M. Brown,billing,Engineer,DE,2022-07-18,2022-07-20,2023-05-12 00:00:00,active,,,referral,APAC,Europe/Warsaw,True,True,web,billing contact
USR00062,AC030,SUB01409,,sara167@gmail.com,Anna Kowalska,admin,,EN,2021-12-11,2021-12-11,2022-01-25 00:00:00,disabled,,import,organic,EU,UTC+1,False,False,android,
USR00063,AC138,SUB01082,EXT9076,anna259@gmail.com,,admin,Finance,EN,2021-09-05,,,disabled,,import,,EMEA,EST,True,False,ios,power user
USR00064,AC165,SUB01989,EXT8306,anna257@company.com,Anna Kowalska,member,Finance,,2022-07-06,2022-07-04,2023-04-14 00:00:00,invited,,sales,,,EST,True,True,,billing contact
USR00065,AC076,SUB01938,EXT7228,sara109@company.com,,ADMIN,Finance,EN,2022-08-16,2022-08-16,,invited,,,organic,EU,UTC,False,,web,no activity last 30 days
USR00066,AC117,,EXT8417,kate165@company.com,M. Brown,member,Manager,,2024-02-14,2024-02-22,2024-11-06 00:00:00,disabled,2024-12-17,web,paid_ads,EMEA,,False,True,web,no activity last 30 days
USR00067,,SUB00590,,KATE@GMAIL.COM,,,CTO,PL,2023-04-27,2023-05-07,2024-02-06 00:00:00,deleted,,,referral,APAC,UTC+1,,True,web,
USR00068,AC068,SUB01646,EXT6862,kate156@example.com,Anna Kowalska,member,Manager,PL,2023-01-29,2023-02-07,,active,,api,,,UTC+1,True,True,,power user
USR00069,AC046,,EXT3875,anna66@gmail.com,John Smith,member,Finance,,2022-07-23,2022-08-02,,invited,,,referral,NA,UTC,,,android,billing contact
USR00070,AC028,SUB01358,EXT1849,sara166@gmail.com,,billing,Finance,EN,2023-07-19,,,active ,,import,,EU,,True,,ios,power user
USR00071,AC077,SUB00202,EXT4696,john217@gmail.com,John Smith,member,Engineer,en-US,2022-07-24,2022-08-02,2023-02-18 00:00:00,disabled,,api,organic,EMEA,UTC,False,False,web,billing contact
USR00072,AC130,SUB01101,EXT6465,anna122@company.com,John Smith,ADMIN,,DE,2022-11-16,2022-11-18,,active,,import,organic,EMEA,UTC,True,False,android,power user
USR00073,AC040,SUB00083,EXT8075,sara29@example.com,,admin,Finance,DE,2021-09-19,,,deleted,,web,,NA,,,,web,
USR00074,AC042,SUB01242,EXT6377,kate56@example.com,John Smith,admin,,EN,2023-02-26,2023-03-06,2023-04-26 00:00:00,active ,,sales,paid_ads,,Europe/Warsaw,False,False,,billing contact
USR00075,AC136,SUB02014,EXT6861,alex278@company.com,Anna Kowalska,member,Manager,PL,2023-06-30,2023-06-29,2023-07-29 00:00:00,active ,,api,referral,EU,UTC,,,ios,power user
USR00076,AC154,SUB00403,EXT8794,anna240@example.com,,,Finance,,2022-05-02,2022-04-28,2022-08-06 00:00:00,active ,2022-10-27,api,referral,APAC,Europe/Warsaw,True,True,,power user
USR00077,AC005,SUB00934,EXT6431,anna193@example.com,Anna Kowalska,billing,Engineer,EN,2023-10-13,2023-10-08,2024-02-02 00:00:00,disabled,,web,organic,EU,UTC,,True,ios,
USR00078,AC093,,,john135@example.com,Anna Kowalska,viewer,,en-US,2023-06-21,2023-06-27,,invited,,sales,organic,NA,Europe/Warsaw,True,True,ios,
USR00079,AC079,SUB01815,,mike223@gmail.com,John Smith,admin,Engineer,en-US,2021-08-16,2021-08-17,2021-12-17 00:00:00,invited,,sales,,EU,Europe/Warsaw,,False,ios,power user
USR00080,AC062,SUB01315,EXT9327,kate251@company.com,Anna Kowalska,,CTO,DE,2022-01-23,2022-01-27,2022-07-13 00:00:00,active ,,web,paid_ads,,EST,,,android,
USR00081,AC021,SUB01708,EXT7569,kate299@company.com,John Smith,member,Engineer,en-US,2023-11-29,2023-12-04,2024-08-29 00:00:00,deleted,,sales,,NA,Europe/Warsaw,False,False,ios,
USR00082,AC125,SUB00366,EXT8622,mike173@example.com,,billing,Manager,DE,2022-06-06,2022-06-05,2022-11-03 00:00:00,deleted,,api,,EU,Europe/Warsaw,False,True,ios,
USR00083,AC137,,EXT2280,alex117@gmail.com,John Smith,admin,CTO,PL,2022-04-24,2022-04-21,2022-06-02 00:00:00,active,,,paid_ads,EU,UTC+1,,False,android,
USR00084,AC033,,EXT7616,mike297@company.com,John Smith,billing,,,2022-07-17,2022-07-16,2023-04-20 00:00:00,invited,2023-04-22,import,paid_ads,NA,UTC+1,False,True,,
USR00085,AC141,SUB01985,,kate286@company.com,John Smith,viewer,Engineer,,2022-11-29,2022-12-04,2023-07-11 00:00:00,invited,,api,organic,APAC,Europe/Warsaw,False,True,,
USR00086,AC136,SUB01532,,john170@example.com,,,,,2023-04-07,2023-04-11,2023-04-22 00:00:00,active ,,import,,NA,EST,True,,,no activity last 30 days
USR00087,AC109,SUB02111,EXT5991,alex54@company.com,,member,CTO,,2023-08-31,,,deleted,,web,paid_ads,NA,UTC,False,False,ios,no activity last 30 days
USR00088,AC139,SUB00269,EXT7731,anna57@company.com,Anna Kowalska,ADMIN,Manager,DE,2022-08-20,2022-08-17,2023-02-21 00:00:00,active,,import,paid_ads,NA,UTC+1,False,False,,no activity last 30 days
USR00089,AC177,SUB02076,EXT7541,john127@example.com,,viewer,,DE,2024-03-23,2024-03-24,2024-11-13 00:00:00,deleted,,import,organic,EMEA,Europe/Warsaw,,False,android,
USR00090,AC080,SUB02148,EXT4005,sara49@company.com,,,CTO,en-US,2023-03-12,2023-03-12,2023-06-11 00:00:00,invited,2023-08-06,api,referral,EMEA,UTC+1,False,False,web,
USR00091,AC172,SUB00119,EXT2199,alex237@example.com,,viewer,,DE,2021-06-06,2021-06-11,2021-09-03 00:00:00,invited,,import,organic,EMEA,Europe/Warsaw,True,,ios,
USR00092,AC113,,EXT8171,kate143@example.com,Anna Kowalska,member,CTO,,2023-08-09,2023-08-06,,active,,sales,referral,EMEA,,,False,ios,power user
USR00093,AC116,SUB00823,EXT8242,john268@gmail.com,John Smith,billing,,PL,2021-01-23,2021-01-22,2021-04-23 00:00:00,deleted,,web,organic,EMEA,EST,True,True,android,no activity last 30 days
USR00094,AC058,SUB01022,EXT6523,sara33@example.com,Anna Kowalska,admin,,en-US,2022-02-14,,,invited,,web,,,UTC,False,False,ios,billing contact
USR00095,AC006,,EXT1245,john162@company.com,John Smith,billing,Engineer,DE,2022-03-01,2022-03-08,2022-05-08 00:00:00,invited,,web,referral,,Europe/Warsaw,True,True,ios,
USR00096,AC059,,,alex167@example.com,,,,en-US,2022-09-10,2022-09-20,2022-11-11 00:00:00,disabled,,sales,referral,APAC,UTC,False,True,,
USR00097,AC002,SUB00816,EXT8020,alex41@example.com,John Smith,member,Finance,DE,2023-11-13,2023-11-15,2023-11-21 00:00:00,disabled,,sales,paid_ads,APAC,UTC+1,,True,ios,billing contact
USR00098,AC162,SUB01902,EXT1648,mike213@gmail.com,M. Brown,admin,Engineer,PL,2023-06-28,2023-07-03,,disabled,,sales,paid_ads,,UTC,,True,ios,billing contact
USR00099,AC018,SUB00508,EXT1853,sara73@example.com,Anna Kowalska,member,CTO,en-US,2023-02-21,2023-02-21,2023-02-24 00:00:00,active ,,,paid_ads,NA,,True,False,,
USR00100,AC085,SUB00991,EXT4299,alex247@company.com,John Smith,viewer,Manager,DE,2021-12-03,2021-12-05,2022-04-11 00:00:00,invited,,import,,APAC,,,,,no activity last 30 days
USR00101,AC061,SUB02434,EXT5918,sara79@company.com,,,Engineer,PL,2023-09-15,,,deleted,,import,referral,APAC,Europe/Warsaw,False,,,power user
USR00102,AC125,SUB01944,,sara7@example.com,,,,PL,2022-11-14,,,deleted,,import,,APAC,Europe/Warsaw,False,False,android,billing contact
USR00103,AC034,SUB01433,,alex131@example.com,M. Brown,ADMIN,,DE,2021-05-26,2021-05-22,2021-07-24 00:00:00,disabled,,web,,APAC,UTC+1,True,False,web,
USR00104,AC147,SUB01060,EXT3644,MIKE@EXAMPLE.COM,John Smith,,,DE,2021-02-27,2021-02-26,2021-10-17 00:00:00,deleted,2021-11-05,,organic,,UTC+1,False,True,,
USR00105,AC063,SUB00371,,kate177@example.com,Anna Kowalska,viewer,,en-US,2022-09-11,2022-09-18,2023-04-16 00:00:00,deleted,,api,organic,NA,EST,True,True,web,
USR00106,AC105,SUB01584,,anna258@gmail.com,John Smith,billing,,en-US,2023-12-12,2023-12-16,2024-03-12 00:00:00,invited,,sales,organic,NA,UTC+1,False,False,,billing contact
USR00107,AC025,,,john16@company.com,,member,Manager,DE,2021-08-12,2021-08-12,,active,,web,organic,EU,UTC,,,web,power user
USR00108,AC091,SUB00878,EXT8036,sara176@company.com,M. Brown,member,Finance,DE,2022-03-09,2022-03-04,2022-11-25 00:00:00,deleted,2022-12-30,,organic,EU,Europe/Warsaw,True,True,,
USR00109,AC120,SUB00923,,john128@gmail.com,M. Brown,billing,,DE,2021-10-12,,,active ,,import,paid_ads,EMEA,Europe/Warsaw,True,,android,power user
USR00110,AC014,SUB01103,EXT8800,john52@company.com,,viewer,,en-US,2022-10-29,2022-10-31,2023-05-23 00:00:00,invited,,,organic,NA,EST,True,False,,no activity last 30 days
USR00111,AC166,SUB02103,EXT2728,anna15@gmail.com,Anna Kowalska,viewer,Manager,PL,2023-07-03,2023-07-13,2023-11-13 00:00:00,invited,,api,,EMEA,UTC+1,,,,power user
USR00112,AC104,,EXT8159,kate115@gmail.com,M. Brown,admin,Finance,EN,2022-11-13,2022-11-10,2023-05-22 00:00:00,active,2023-07-10,web,referral,,UTC+1,,True,android,no activity last 30 days
USR00113,AC028,SUB00037,EXT6980,sara65@company.com,,,,,2022-10-04,2022-09-29,2023-06-30 00:00:00,invited,,web,,EMEA,,False,False,ios,
USR00114,AC049,SUB00542,EXT1562,mike159@example.com,,,CTO,PL,2022-03-25,2022-04-03,,active ,,import,paid_ads,APAC,Europe/Warsaw,,False,web,
USR00115,AC036,SUB02463,EXT7419,john82@example.com,John Smith,ADMIN,Manager,PL,2021-11-09,2021-11-10,2022-03-05 00:00:00,deleted,,import,referral,APAC,EST,True,,android,
USR00116,AC072,SUB00917,EXT1886,mike156@gmail.com,,,Engineer,,2022-02-04,2022-02-11,,invited,,import,,EU,UTC+1,True,True,ios,power user
USR00117,AC020,SUB01252,EXT1922,sara243@gmail.com,Anna Kowalska,admin,CTO,,2023-01-12,2023-01-10,2023-03-26 00:00:00,disabled,,,,NA,EST,True,True,web,no activity last 30 days
USR00118,AC141,SUB01128,,kate196@gmail.com,M. Brown,,,DE,2023-03-24,2023-03-24,2023-10-02 00:00:00,disabled,,web,organic,EMEA,UTC,True,False,ios,power user
USR00119,AC167,SUB01543,EXT8105,anna65@company.com,John Smith,viewer,CTO,,2024-03-19,2024-03-29,2024-05-16 00:00:00,invited,,import,organic,APAC,,,,,power user
USR00120,AC004,SUB01881,EXT1087,anna161@gmail.com,John Smith,admin,Engineer,,2023-11-29,2023-11-27,2024-03-12 00:00:00,invited,2024-03-28,sales,organic,,Europe/Warsaw,True,True,web,billing contact
USR00121,AC061,SUB01912,EXT5807,john228@gmail.com,Anna Kowalska,ADMIN,Manager,PL,2022-09-04,2022-09-04,2022-09-04 00:00:00,active ,,api,paid_ads,EMEA,UTC,True,True,ios,no activity last 30 days
USR00122,AC125,SUB02133,,mike39@company.com,,viewer,Finance,DE,2022-09-06,2022-09-07,2023-06-16 00:00:00,invited,,import,,EMEA,Europe/Warsaw,,False,ios,billing contact
USR00123,AC103,SUB01627,EXT4156,kate289@company.com,,ADMIN,Engineer,DE,2022-02-22,,,invited,,api,,APAC,UTC,,True,web,
USR00124,AC043,SUB00031,EXT6464,kate75@example.com,Anna Kowalska,viewer,CTO,EN,2021-09-13,2021-09-21,,deleted,,sales,,EMEA,UTC,True,,android,billing contact
USR00125,AC100,SUB01533,EXT5620,mike51@gmail.com,John Smith,member,Finance,DE,2023-09-30,,,invited,,api,,APAC,,True,False,web,billing contact
USR00126,AC117,SUB02433,EXT5081,kate215@gmail.com,,member,Manager,PL,2021-11-15,2021-11-14,2022-03-30 00:00:00,deleted,,,referral,EU,EST,,,ios,
USR00127,AC179,SUB01223,,john295@gmail.com,John Smith,admin,,PL,2021-06-28,2021-07-06,2021-08-21 00:00:00,active ,,import,organic,APAC,,,True,,
USR00128,AC143,SUB01974,EXT6653,kate271@company.com,,admin,,DE,2023-11-21,2023-11-19,2024-02-24 00:00:00,invited,2024-02-25,,paid_ads,NA,UTC,False,True,android,power user
USR00129,AC125,,EXT2931,kate248@example.com,M. Brown,viewer,Engineer,EN,2023-05-16,2023-05-16,2023-07-12 00:00:00,active ,,import,paid_ads,EU,,True,False,,power user
USR00130,AC076,SUB01332,,sara180@company.com,Anna Kowalska,billing,Finance,EN,2022-12-30,,,active,,import,,NA,UTC,,,ios,
USR00131,AC015,SUB01070,,kate154@company.com,M. Brown,billing,Engineer,,2021-09-11,2021-09-06,,disabled,,web,,APAC,UTC+1,True,False,,power user
USR00132,AC139,SUB01224,,mike170@example.com,John Smith,member,,en-US,2023-01-06,2023-01-07,,deleted,,api,organic,APAC,EST,,False,ios,
USR00133,AC081,,,john7@example.com,Anna Kowalska,admin,,PL,2023-03-30,2023-04-06,,deleted,,,organic,APAC,EST,False,False,,power user
USR00134,AC150,SUB00985,EXT5052,john220@company.com,Anna Kowalska,billing,,EN,2023-05-29,2023-05-28,2023-08-31 00:00:00,active ,,,paid_ads,NA,,,,ios,no activity last 30 days
USR00135,AC136,SUB02458,EXT3395,john103@company.com,John Smith,admin,Manager,DE,2021-09-04,,,active ,,api,paid_ads,NA,Europe/Warsaw,False,False,web,billing contact
USR00136,AC131,SUB01310,EXT7849,mike25@company.com,Anna Kowalska,admin,CTO,EN,2023-05-25,2023-05-29,,disabled,,sales,referral,APAC,Europe/Warsaw,,True,,no activity last 30 days
USR00137,AC048,SUB00105,EXT3134,john186@gmail.com,,ADMIN,,PL,2022-06-01,2022-06-07,2022-08-03 00:00:00,invited,,api,paid_ads,,EST,True,True,ios,billing contact
USR00138,AC018,SUB01211,,kate51@example.com,John Smith,ADMIN,,PL,2021-09-04,,,disabled,,import,paid_ads,,UTC+1,True,True,ios,
USR00139,AC061,SUB01715,,john258@company.com,John Smith,member,,PL,2024-02-02,2024-02-08,2024-09-24 00:00:00,invited,,api,organic,,UTC,,True,,
USR00140,AC146,SUB00145,EXT7393,alex140@company.com,Anna Kowalska,member,CTO,en-US,2023-12-27,2023-12-24,,active ,,sales,organic,,EST,,,android,
USR00141,AC153,SUB02344,,alex143@example.com,Anna Kowalska,viewer,CTO,en-US,2022-03-28,2022-03-31,2022-06-26 00:00:00,invited,,,organic,EMEA,Europe/Warsaw,,,android,
USR00142,,SUB01406,EXT1170,mike113@example.com,M. Brown,member,Finance,EN,2021-06-20,2021-06-23,2022-01-18 00:00:00,active ,2022-02-25,,organic,APAC,Europe/Warsaw,,,ios,
USR00143,AC169,SUB00911,EXT7039,anna246@gmail.com,John Smith,billing,Engineer,DE,2022-03-28,2022-03-29,2022-10-17 00:00:00,invited,,sales,paid_ads,,EST,,True,android,power user
USR00144,AC134,SUB01949,,john207@company.com,John Smith,,,en-US,2022-09-28,2022-09-28,2023-01-02 00:00:00,active,,,organic,APAC,EST,True,True,web,power user
USR00145,AC067,SUB01469,EXT6544,john44@example.com,Anna Kowalska,member,Manager,,2021-09-28,2021-09-25,2021-10-01 00:00:00,deleted,,sales,referral,EU,EST,True,True,web,billing contact
USR00146,AC081,SUB00697,EXT2680,john213@example.com,Anna Kowalska,admin,Engineer,EN,2022-07-02,2022-06-30,,invited,,import,,NA,Europe/Warsaw,,False,ios,
USR00147,AC102,SUB02287,,alex44@company.com,John Smith,ADMIN,Engineer,en-US,2021-08-19,2021-08-17,2022-01-08 00:00:00,deleted,,,referral,,UTC+1,,False,ios,
USR00148,AC166,,EXT1035,mike77@gmail.com,Anna Kowalska,viewer,Engineer,DE,2022-08-11,2022-08-09,2023-04-21 00:00:00,deleted,,import,organic,EMEA,,False,,android,no activity last 30 days
USR00149,AC081,,EXT7944,sara212@company.com,,,Finance,en-US,2021-07-05,2021-07-04,,invited,,import,,,EST,,,,billing contact
USR00150,AC019,,EXT4593,kate121@company.com,M. Brown,admin,Engineer,EN,2024-01-04,2024-01-11,,disabled,,,,NA,UTC,True,False,android,no activity last 30 days
USR00151,,SUB02290,EXT3344,anna14@example.com,,viewer,CTO,EN,2022-08-27,2022-09-04,2022-12-27 00:00:00,active ,,web,,,UTC+1,True,True,android,no activity last 30 days
USR00152,AC145,SUB00750,EXT9641,anna154@company.com,,billing,,PL,2021-06-11,2021-06-06,2022-01-05 00:00:00,deleted,,web,referral,EMEA,UTC+1,True,,web,billing contact
USR00153,AC019,SUB01375,EXT5227,sara257@gmail.com,M. Brown,,Engineer,DE,2021-12-22,2021-12-17,2022-07-21 00:00:00,invited,,api,organic,,EST,True,,ios,
